Time(ms),Temp(C),Pressure(hPa),Alt(m),FiltAlt(m),AccX(g),AccY(g),AccZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),LM35Temp(C)
1,19.62,1040.11,668.96,133.79,-0.02,0.00,0.96,3.66,-1.02,-1.39,5.69,-3.24,-2.18,21.00
33,19.62,1040.11,668.96,240.82,-0.02,0.00,0.96,3.54,-0.83,-1.57,5.74,-4.87,-2.23,21.00
64,19.62,1040.11,668.96,326.45,-0.01,0.00,0.97,3.60,-1.05,-1.48,5.79,-6.49,-2.28,21.00
96,19.64,1040.02,669.62,395.09,-0.01,-0.00,0.96,3.45,-0.74,-1.65,5.82,-8.06,-2.33,21.00
130,19.64,1040.02,669.62,449.99,-0.02,-0.00,0.96,3.65,-0.51,-1.65,5.88,-9.59,-2.38,20.02
162,19.64,1040.02,669.62,493.92,-0.01,0.00,0.96,3.78,-0.73,-1.43,5.93,-11.10,-2.43,20.02
194,19.63,1040.04,669.51,529.04,-0.01,0.01,0.96,3.65,-0.94,-1.48,5.98,-12.59,-2.48,20.02
225,19.63,1040.04,669.51,557.13,-0.01,-0.00,0.96,3.65,-0.99,-1.29,6.01,-14.05,-2.52,20.02
257,19.63,1040.04,669.51,579.61,-0.02,0.00,0.95,3.65,-0.87,-1.49,6.05,-15.47,-2.56,21.00
289,19.63,1040.08,669.20,597.52,-0.02,0.00,0.96,3.42,-0.85,-1.37,6.09,-16.86,-2.61,21.00
322,19.63,1040.08,669.20,611.86,-0.01,-0.00,0.96,3.68,-0.90,-1.49,6.13,-18.23,-2.66,20.51
353,19.63,1040.08,669.20,623.33,-0.01,-0.00,0.95,3.60,-0.99,-1.48,6.16,-19.58,-2.70,20.02
385,19.62,1040.08,669.17,632.50,-0.02,-0.00,0.97,3.60,-0.90,-1.48,6.20,-20.89,-2.75,21.00
417,19.62,1040.08,669.17,639.83,-0.01,-0.00,0.96,3.62,-0.62,-1.54,6.23,-22.17,-2.80,20.02
448,19.62,1040.08,669.17,645.70,-0.01,-0.00,0.96,3.49,-0.71,-1.42,6.26,-23.43,-2.84,19.53
480,19.62,1040.12,668.85,650.33,-0.02,0.00,0.96,3.52,-0.24,-1.78,6.29,-24.65,-2.90,21.00
514,19.62,1040.12,668.85,654.03,-0.01,-0.00,0.96,3.74,-1.08,-1.45,6.33,-25.88,-2.95,21.00
546,19.62,1040.12,668.85,657.00,-0.02,-0.00,0.96,3.31,-0.50,-2.06,6.36,-27.04,-3.02,21.00
578,19.62,1040.13,668.75,659.35,-0.01,-0.00,0.96,3.77,-0.61,-1.23,6.39,-28.21,-3.05,20.02
609,19.62,1040.13,668.75,661.23,0.01,0.08,0.99,2.62,-2.97,2.08,6.48,-29.44,-2.99,21.00
641,19.62,1040.13,668.75,662.73,0.03,0.08,1.08,-34.11,3.73,17.99,5.42,-30.47,-2.41,20.02
675,19.62,1040.11,668.93,663.97,-0.10,-0.01,0.87,-19.47,12.04,12.46,4.69,-31.02,-1.99,21.00
706,19.62,1040.11,668.93,664.96,0.03,0.06,1.19,-23.97,-23.41,-9.87,3.98,-32.83,-2.30,21.00
737,19.62,1040.11,668.93,665.76,-0.15,-0.02,1.12,-19.21,1.81,1.03,3.34,-33.66,-2.27,19.53
769,19.62,1040.16,668.53,666.31,0.06,-0.04,0.99,15.31,6.45,14.97,3.76,-34.55,-1.79,20.02
801,19.62,1040.16,668.53,666.76,0.03,0.10,0.82,14.79,-8.65,-2.07,4.34,-35.87,-1.85,21.00
