Time(ms),Temp(C),Pressure(hPa),Alt(m),FiltAlt(m),AccX(g),AccY(g),AccZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),LM35Temp(C)
0,23.02,1013.57,0.28,0.06,0.02,0.05,0.98,-5.59,0.25,-4.68,-9.02,0.31,-7.98,22.46
31,23.02,1013.57,0.28,0.1,0.03,0.05,0.98,-5.24,2.63,-4.85,-8.69,0.27,-8.13,23.93
62,23.02,1013.55,0.43,0.17,0.02,0.05,0.99,-5.12,2.43,-4.62,-8.36,0.23,-8.27,24.9
93,23.02,1013.55,0.43,0.22,0.02,0.05,0.98,-5.51,1.07,-4.74,-8.04,0.15,-8.42,25.39
124,23.02,1013.55,0.43,0.26,0.03,0.05,0.99,-5.57,0.95,-4.83,-7.73,0.06,-8.57,24.9
156,23.04,1013.6,0.01,0.21,0.03,0.05,0.97,-5.5,1.21,-4.8,-7.42,-0.02,-8.72,23.93
187,23.04,1013.6,0.01,0.17,0.03,0.05,0.99,-5.09,2.03,-4.48,-7.11,-0.07,-8.86,24.41
217,23.04,1013.6,0.01,0.14,0.02,0.05,0.99,-5.47,1.42,-4.91,-6.81,-0.14,-9.01,24.9
247,23.03,1013.6,0.01,0.11,0.03,0.05,0.99,-5.59,0.57,-4.71,-6.52,-0.23,-9.15,24.9
279,23.03,1013.6,0.01,0.09,0.04,0.05,0.97,-5.06,2,-4.56,-6.23,-0.29,-9.3,24.9
310,23.03,1013.6,0.01,0.08,0.03,0.05,0.98,-4.87,4.25,-4.8,-5.94,-0.28,-9.44,24.9
342,23.03,1013.6,0.04,0.07,0.03,0.05,0.99,-4.9,4.14,-4.86,-5.66,-0.25,-9.6,24.9
372,23.03,1013.6,0.04,0.06,0.01,0.05,0.99,-4.89,2.78,-4.59,-5.38,-0.26,-9.74,24.9
404,23.03,1013.6,0.04,0.06,0.02,0.05,0.98,-5.3,1.26,-4.5,-5.12,-0.33,-9.88,23.93
435,23.03,1013.6,0.04,0.05,0.02,0.05,0.99,-5.22,2.66,-4.73,-4.86,-0.35,-10.03,24.41
466,23.03,1013.58,0.17,0.08,0.02,0.05,0.98,-5.28,2.02,-4.89,-4.61,-0.39,-10.18,24.9
497,23.03,1013.58,0.17,0.1,0.02,0.05,0.99,-5.27,0.84,-4.59,-4.36,-0.46,-10.32,23.93
531,23.03,1013.58,0.17,0.11,0.04,0.04,0.98,-5.42,1.91,-4.85,-4.15,-0.52,-10.49,24.9
563,23.02,1013.6,-0.01,0.09,0.02,0.06,0.99,-5.32,1.29,-4.53,-3.91,-0.57,-10.63,24.9
594,23.02,1013.6,-0.01,0.07,0.03,0.05,0.97,-5.38,1.55,-4.63,-3.68,-0.63,-10.78,24.9
625,23.02,1013.6,-0.01,0.05,0.01,0.05,0.98,-5.1,3.13,-4.88,-3.44,-0.62,-10.93,24.41
657,23.03,1013.6,0.01,0.05,0.02,0.05,0.99,-5.61,0.97,-4.74,-3.23,-0.69,-11.08,25.39
689,23.03,1013.6,0.01,0.04,0.04,0.06,0.98,-5.12,1.24,-4.53,-3,-0.76,-11.22,24.41
722,23.03,1013.6,0.01,0.03,0,0.08,0.98,-5.22,2.07,-4.73,-2.76,-0.76,-11.38,24.41
753,23.02,1013.61,-0.05,0.02,0.02,0.05,0.98,-5.38,0.22,-4.73,-2.55,-0.84,-11.53,24.9
785,23.02,1013.61,-0.05,0,0.03,0.05,0.99,-5.15,1.21,-4.91,-2.34,-0.9,-11.68,25.39
817,23.02,1013.61,-0.05,-0.01,0.02,0.05,0.98,-5.41,1.24,-4.77,-2.15,-0.96,-11.84,24.9
849,23.03,1013.57,0.25,0.05,0.02,0.04,0.97,-5.64,0.03,-4.98,-1.98,-1.04,-11.99,24.9
880,23.03,1013.57,0.25,0.09,0.04,0.07,0.98,-5.47,2.03,-5.27,-1.76,-1.09,-12.16,24.9
914,23.03,1013.57,0.25,0.12,0.03,0.06,0.97,-5.25,2.52,-4.85,-1.57,-1.1,-12.32,24.9
946,23.03,1013.6,0.06,0.11,0.02,0.05,0.98,-5.15,2.51,-4.98,-1.39,-1.1,-12.48,24.9
977,23.03,1013.6,0.06,0.1,0.02,0.05,0.98,-5.35,-0.22,-4.68,-1.2,-1.2,-12.63,25.39
1008,23.03,1013.6,0.06,0.09,0.04,0.05,0.98,-5.73,-0.26,-4.86,-1.03,-1.31,-12.78,24.9
1040,23.03,1013.59,0.08,0.09,0.03,0.05,0.98,-5.19,2,-4.95,-0.86,-1.34,-12.94,24.41
1074,23.03,1013.59,0.08,0.09,0.03,0.05,0.97,-5.28,0.95,-4.74,-0.7,-1.39,-13.1,24.9
1105,23.03,1013.59,0.08,0.08,0.02,0.05,0.98,-5.48,1.71,-4.92,-0.53,-1.42,-13.25,25.39
1136,23.03,1013.58,0.17,0.1,0.03,0.05,0.98,-5.22,2.05,-4.79,-0.36,-1.45,-13.4,24.41
1168,23.03,1013.58,0.17,0.12,0.02,0.05,0.98,-5.24,1.32,-4.88,-0.2,-1.49,-13.56,24.41
1200,23.03,1013.58,0.17,0.13,0.04,0.05,0.97,-5.07,1.76,-5,-0.04,-1.53,-13.72,25.39
