Time(ms),Temp(C),Pressure(hPa),Alt(m),FiltAlt(m),AccX(g),AccY(g),AccZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),LM35Temp(C)
1,22.13,1013.25,0.18,0.04,0.04,-0.08,1.17,4.76,-0.79,11.03,8.11,0.37,17.04,20.51
33,22.15,1013.25,0.25,0.08,0.04,-0.08,1.17,4.63,-0.50,10.64,9.00,1.90,17.38,21.00
64,22.15,1013.25,0.25,0.11,0.05,-0.08,1.17,4.85,-0.63,11.06,9.87,3.40,17.73,21.00
94,22.15,1013.25,0.25,0.14,0.04,-0.07,1.17,4.54,-0.68,11.08,10.72,4.87,18.06,20.51
125,22.17,1013.28,-0.03,0.11,0.05,-0.08,1.17,4.66,-0.45,10.76,11.56,6.31,18.39,21.00
159,22.17,1013.28,-0.03,0.08,0.04,-0.08,1.17,4.62,-0.80,11.20,12.39,7.72,18.77,20.51
191,22.17,1013.28,-0.03,0.06,0.05,-0.08,1.17,4.74,-0.85,11.02,13.20,9.09,19.13,20.51
222,22.16,1013.27,0.06,0.06,0.05,-0.07,1.16,4.59,-0.31,10.80,13.98,10.45,19.46,21.00
253,22.16,1013.27,0.06,0.06,0.04,-0.07,1.16,4.71,-0.65,10.96,14.76,11.78,19.80,20.51
285,22.16,1013.27,0.06,0.06,0.04,-0.08,1.17,4.94,-0.74,11.15,15.52,13.08,20.16,20.51
317,22.16,1013.28,-0.06,0.04,0.05,-0.07,1.17,4.76,-1.20,10.99,16.28,14.33,20.51,21.48
350,22.16,1013.28,-0.06,0.02,0.04,-0.08,1.16,4.74,-1.12,10.97,17.01,15.57,20.87,20.51
381,22.16,1013.28,-0.06,0.00,0.04,-0.08,1.17,4.74,-0.80,11.08,17.73,16.79,21.22,20.02
413,22.15,1013.29,-0.10,-0.02,0.05,-0.08,1.17,4.53,-0.53,10.99,18.42,17.98,21.57,20.51
445,22.15,1013.29,-0.10,-0.03,0.04,-0.08,1.18,4.63,-0.45,10.88,19.11,19.17,21.92,20.51
477,22.15,1013.29,-0.10,-0.05,0.05,-0.08,1.16,4.77,-0.30,10.79,19.78,20.33,22.26,21.00
508,22.15,1013.27,0.07,-0.02,0.05,-0.08,1.17,4.82,-0.80,11.11,20.44,21.45,22.60,20.51
542,22.15,1013.27,0.07,-0.00,0.04,-0.07,1.16,4.57,-0.45,10.83,21.10,22.57,22.97,19.53
574,22.15,1013.27,0.07,0.01,0.04,-0.07,1.17,4.88,-0.83,11.08,21.74,23.65,23.33,20.51
605,22.15,1013.26,0.10,0.03,0.05,-0.08,1.16,4.72,-0.86,11.11,22.36,24.70,23.67,21.00
636,22.15,1013.26,0.10,0.04,0.05,-0.08,1.17,4.65,-0.59,10.77,22.96,25.75,24.01,19.53
668,22.15,1013.26,0.10,0.06,0.04,-0.08,1.16,4.59,-0.24,11.05,23.55,26.78,24.36,20.51
702,22.15,1013.28,-0.05,0.03,0.04,-0.08,1.17,4.63,-0.57,11.08,24.15,27.79,24.74,19.53
733,22.15,1013.28,-0.05,0.02,0.05,-0.08,1.16,4.77,-0.16,10.85,24.72,28.78,25.07,21.00
764,22.15,1013.28,-0.05,0.00,0.05,-0.07,1.17,4.83,-1.05,11.09,25.28,29.72,25.42,20.51
796,22.15,1013.28,-0.08,-0.01,0.04,-0.08,1.17,4.89,-1.14,11.26,25.84,30.65,25.78,19.53
828,22.15,1013.28,-0.08,-0.03,0.04,-0.07,1.17,4.69,-1.15,11.08,26.38,31.56,26.13,20.02
859,22.15,1013.28,-0.08,-0.04,0.05,-0.07,1.16,4.65,-0.92,10.99,26.91,32.45,26.48,20.51
893,22.14,1013.27,0.07,-0.02,0.05,-0.07,1.16,4.83,-1.09,11.17,27.44,33.32,26.85,20.51
925,22.14,1013.27,0.07,0.00,0.04,-0.07,1.17,4.85,-1.00,11.18,27.96,34.18,27.21,20.02
957,22.14,1013.27,0.07,0.01,0.04,-0.07,1.17,4.72,-0.89,11.03,28.46,35.02,27.56,20.51
989,22.14,1013.27,0.07,0.03,0.05,-0.08,1.16,4.51,-0.79,11.14,28.95,35.85,27.92,21.00
1020,22.14,1013.27,0.07,0.03,0.05,-0.07,1.17,4.66,-0.62,10.83,29.42,36.67,28.25,21.00
1052,22.14,1013.27,0.07,0.04,0.05,-0.07,1.17,4.56,-0.27,10.91,29.89,37.48,28.60,20.51
1086,22.15,1013.28,-0.03,0.03,0.05,-0.07,1.16,4.57,-0.92,11.09,30.36,38.25,28.98,20.51
1117,22.15,1013.28,-0.03,0.01,0.04,-0.08,1.17,4.62,-0.38,11.00,30.80,39.03,29.32,21.00
1148,22.15,1013.28,-0.03,0.01,0.04,-0.08,1.17,4.56,-0.36,10.89,31.23,39.80,29.66,21.00
1180,22.14,1013.27,0.00,0.00,0.04,-0.08,1.16,4.91,-1.00,11.05,31.67,40.53,30.01,20.51
1212,22.14,1013.27,0.00,0.00,0.02,-0.01,1.17,4.51,1.24,11.47,32.15,41.34,30.38,21.48
1243,22.14,1013.27,0.00,0.00,0.06,-0.05,1.15,10.13,-8.33,28.15,32.76,41.80,31.28,20.51
1277,22.15,1013.27,0.08,0.02,0.07,-0.06,1.15,19.66,7.32,50.97,33.66,42.72,32.96,21.00
1309,22.15,1013.27,0.08,0.03,0.05,-0.02,1.15,12.07,1.59,30.74,34.34,43.47,33.95,21.00
1341,22.15,1013.27,0.08,0.04,0.06,-0.03,1.18,8.48,0.31,21.32,34.87,44.15,34.63,21.00
1373,22.14,1013.29,-0.09,0.01,0.01,-0.02,1.17,11.46,0.34,29.14,35.50,44.86,35.56,20.51
1404,22.14,1013.29,-0.09,-0.01,-0.00,0.02,1.20,10.71,3.29,29.72,36.11,45.66,36.48,20.51
1436,22.14,1013.29,-0.09,-0.02,0.04,0.11,1.15,10.71,2.43,27.37,36.82,46.39,37.36,21.00
1470,22.14,1013.27,0.06,-0.01,0.04,-0.01,1.17,3.73,-0.13,8.50,37.18,47.02,37.65,21.00
1501,22.14,1013.27,0.06,0.01,0.05,0.01,1.17,4.01,-0.80,9.14,37.55,47.61,37.93,20.51
1532,22.14,1013.27,0.06,0.02,0.04,0.02,1.16,4.97,-0.42,11.37,37.96,48.20,38.28,20.51
1564,22.14,1013.26,0.05,0.02,0.04,-0.00,1.16,3.96,-2.50,8.91,38.30,48.71,38.57,21.00
1596,22.15,1013.27,0.05,0.03,0.05,0.01,1.16,3.58,-2.74,8.50,38.64,49.21,38.84,20.51
1627,22.15,1013.27,0.05,0.03,0.06,0.01,1.15,4.86,-0.08,12.07,39.01,49.76,39.23,21.48
1661,22.14,1013.25,0.17,0.06,0.04,0.01,1.16,3.72,-1.83,9.22,39.35,50.27,39.53,21.00
1693,22.14,1013.25,0.17,0.08,0.07,0.01,1.16,4.16,-2.27,9.60,39.68,50.73,39.84,21.00
1725,22.14,1013.25,0.17,0.10,0.04,-0.00,1.17,4.28,-0.59,10.30,40.01,51.26,40.17,20.02
1757,22.14,1013.25,0.08,0.10,0.06,0.00,1.17,4.37,-0.77,10.25,40.33,51.75,40.50,21.00
1788,22.15,1013.27,0.02,0.08,0.06,0.01,1.16,4.59,-1.11,11.76,40.65,52.23,40.86,21.00
1820,22.15,1013.27,0.02,0.07,0.06,0.00,1.16,5.03,0.59,11.72,40.98,52.74,41.24,21.00
1854,22.15,1013.27,0.10,0.07,0.06,0.00,1.17,4.08,-0.99,9.40,41.29,53.20,41.55,19.53
1885,22.15,1013.26,0.10,0.08,0.05,-0.01,1.16,6.25,-1.06,14.60,41.63,53.65,42.01,20.51
1916,22.15,1013.26,0.10,0.08,0.04,0.01,1.17,4.10,-1.41,8.99,41.91,54.10,42.29,21.00
1948,22.15,1013.26,0.10,0.08,0.04,0.00,1.17,4.60,-0.83,11.14,42.20,54.55,42.64,21.48
1980,22.15,1013.26,0.12,0.09,0.06,0.01,1.17,6.37,0.37,16.04,42.55,55.01,43.16,20.51
2011,22.15,1013.26,0.12,0.10,0.07,0.00,1.15,6.76,0.13,15.49,42.90,55.45,43.65,21.48
2045,22.15,1013.26,0.12,0.10,-0.00,-0.01,1.19,4.97,-0.60,11.73,43.18,55.93,44.04,21.00
2077,22.15,1013.26,0.08,0.10,0.05,0.01,1.18,3.59,-2.67,7.87,43.42,56.27,44.29,21.48
2109,22.15,1013.26,0.08,0.10,0.07,0.01,1.13,4.05,0.98,9.18,43.68,56.71,44.58,21.00
2141,22.15,1013.26,0.08,0.09,0.07,0.01,1.16,5.46,-1.20,12.85,43.97,57.07,45.00,21.00
2172,22.15,1013.28,-0.07,0.06,0.05,0.01,1.18,5.05,0.57,11.73,44.24,57.50,45.36,20.51
2204,22.15,1013.28,-0.07,0.03,0.18,-0.01,1.34,2.34,-14.54,10.19,44.40,57.34,45.69,21.00
2238,22.15,1013.28,-0.07,0.01,0.06,0.02,1.22,6.46,-0.63,9.69,44.73,57.72,46.01,21.00
2269,22.15,1013.27,0.05,0.02,0.08,-0.00,1.25,10.89,0.39,12.19,45.15,58.10,46.39,21.00
2300,22.15,1013.27,0.05,0.03,0.07,0.05,1.18,12.02,3.46,10.12,45.65,58.58,46.71,21.48
2332,22.15,1013.27,0.05,0.03,0.01,0.03,1.10,7.76,-1.14,6.67,46.00,58.96,46.92,21.00
2364,22.15,1013.29,-0.09,0.01,0.06,-0.01,1.14,-3.67,-4.21,-11.53,45.94,59.19,46.55,21.00
2395,22.15,1013.29,-0.09,-0.01,0.09,-0.04,1.05,-0.85,-1.81,1.93,45.94,59.45,46.61,20.51
2429,22.15,1013.29,-0.09,-0.03,0.04,0.05,1.17,-0.12,-0.44,7.31,46.05,59.81,46.85,20.51
2461,22.15,1013.28,-0.08,-0.04,0.07,-0.02,1.15,-12.68,-2.57,-23.59,45.69,60.06,46.10,20.51
2493,22.15,1013.28,-0.08,-0.05,0.09,-0.13,0.99,4.77,5.20,6.07,45.76,60.51,46.29,20.02
2525,22.15,1013.28,-0.08,-0.05,0.16,0.15,1.09,11.70,4.36,31.11,46.35,60.87,47.29,20.02
2556,22.15,1013.27,0.03,-0.04,0.01,0.09,1.17,-20.76,-9.18,-66.88,45.86,60.97,45.22,21.00
2590,22.15,1013.27,0.03,-0.02,-0.15,-0.32,1.39,-2.50,7.87,17.83,45.59,61.73,45.82,20.51
2622,22.15,1013.27,0.03,-0.01,0.04,-0.00,1.17,10.05,3.04,29.18,45.97,62.15,46.76,21.00
2653,22.15,1013.25,0.21,0.03,0.02,-0.11,1.20,5.55,-2.96,12.76,46.10,62.40,47.15,21.48
2684,22.15,1013.25,0.21,0.07,-0.05,-0.06,1.21,6.59,3.33,18.76,46.30,62.90,47.73,21.00
2716,22.15,1013.25,0.21,0.09,0.07,0.00,1.20,4.33,-0.42,11.89,46.50,63.17,48.11,21.00
2748,22.16,1013.30,-0.23,0.03,0.05,-0.06,1.17,4.50,-0.18,10.07,46.64,63.44,48.43,21.48
2781,22.16,1013.30,-0.23,-0.02,0.06,-0.06,1.17,3.76,-1.66,8.91,46.75,63.67,48.73,21.00
2812,22.16,1013.30,-0.23,-0.06,0.06,-0.06,1.16,5.00,-1.41,11.70,46.90,63.89,49.09,21.48
2844,22.16,1013.28,0.00,-0.05,0.05,-0.06,1.18,3.63,-4.74,7.73,47.00,64.02,49.34,21.48
2876,22.16,1013.28,0.00,-0.04,0.04,-0.09,1.18,0.36,-1.02,2.33,46.97,64.27,49.41,20.51
2907,22.16,1013.28,0.00,-0.03,0.06,-0.08,1.18,5.09,-2.10,11.92,47.10,64.46,49.80,20.51
2939,22.16,1013.27,0.03,-0.02,0.04,-0.06,1.16,4.16,-1.20,10.33,47.21,64.69,50.12,19.53
2973,22.16,1013.27,0.03,-0.01,0.05,-0.06,1.17,4.48,-2.27,10.76,47.34,64.87,50.48,21.00
3005,22.16,1013.27,0.03,-0.00,0.05,-0.06,1.18,4.04,-1.34,10.60,47.44,65.08,50.82,21.48
3037,22.15,1013.26,0.10,0.02,0.04,-0.07,1.17,4.17,-1.40,11.34,47.55,65.29,51.18,21.00
3068,22.15,1013.26,0.10,0.03,0.00,-0.03,0.93,-0.04,13.03,2.70,47.55,65.98,51.27,21.00
3100,22.15,1013.26,0.10,0.05,0.07,-0.12,1.31,4.60,1.32,10.67,47.62,66.24,51.61,21.00
3132,22.16,1013.27,0.04,0.05,0.03,-0.07,1.18,3.95,0.46,10.45,47.71,66.50,51.94,21.00
3165,22.16,1013.27,0.04,0.05,0.03,-0.08,1.18,4.71,-1.12,11.41,47.81,66.70,52.32,21.00
3196,22.16,1013.27,0.04,0.04,0.04,-0.08,1.18,4.59,-1.11,10.86,47.91,66.90,52.66,21.00
3228,22.16,1013.26,0.11,0.06,0.05,-0.08,1.18,4.62,-0.71,10.83,48.00,67.10,53.00,20.51
3260,22.16,1013.26,0.11,0.07,0.04,-0.07,1.18,4.42,-0.62,11.23,48.10,67.30,53.36,20.51
3291,22.16,1013.26,0.11,0.07,-0.03,0.08,1.15,1.84,-0.07,6.89,48.26,67.58,53.58,21.00
3323,22.16,1013.30,-0.17,0.02,0.03,-0.07,1.19,2.83,-3.11,7.43,48.30,67.71,53.81,21.00
